"EKATTE","Postcode","Name","Mun_code","Mun_name","Reg_code","Reg_name"
35924,8455,Каменско,BGS23,Сунгурларе,BGS,Бургас
24757,8571,Дюля,BGS18,Руен,BGS,Бургас
15597,9114,Голица,VAR13,Долни чифлик,VAR,Варна
68028,9122,Солник,VAR13,Долни чифлик,VAR,Варна
07394,9117,Бърдарево,VAR13,Долни чифлик,VAR,Варна
36213,8553,Каравельово,BGS18,Руен,BGS,Бургас
04056,8551,Билка,BGS18,Руен,BGS,Бургас
67876,8554,Соколец,BGS18,Руен,BGS,Бургас
73287,8550,Трънак,BGS18,Руен,BGS,Бургас
21614,8552,Добромир,BGS18,Руен,BGS,Бургас
69990,8555,Струя,BGS18,Руен,BGS,Бургас
39298,9875,Крайгорци,SHU10,Върбица,SHU,Шумен
62732,9830,Риш,SHU25,Смядово,SHU,Шумен
81222,9873,Чернооково,SHU10,Върбица,SHU,Шумен
10762,9828,Веселиново,SHU25,Смядово,SHU,Шумен
00789,9260,Аспарухово,VAR16,Дългопол,VAR,Варна
67307,8164,Сливарово,BGS12,Малко Търново,BGS,Бургас
46663,8162,Малко Търново,BGS12,Малко Търново,BGS,Бургас
62459,8281,Резово,BGS13,Царево,BGS,Бургас
69328,8165,Стоилово,BGS12,Малко Търново,BGS,Бургас
06687,8162,Бръшлян,BGS12,Малко Търново,BGS,Бургас
38947,8283,Кости,BGS13,Царево,BGS,Бургас
17693,8166,Граматиково,BGS12,Малко Търново,BGS,Бургас
66528,8279,Синеморец,BGS13,Царево,BGS,Бургас
03349,8345,Белеврен,BGS06,Средец,BGS,Бургас
07291,8274,Българи,BGS13,Царево,BGS,Бургас
06553,8282,Бродилово,BGS13,Царево,BGS,Бургас
38251,8275,Кондолово,BGS13,Царево,BGS,Бургас
30020,8168,Заберново,BGS12,Малко Търново,BGS,Бургас
00878,8280,Ахтопол,BGS13,Царево,BGS,Бургас
30483,8170,Звездец,BGS12,Малко Търново,BGS,Бургас
17035,8343,Горно Ябълково,BGS06,Средец,BGS,Бургас
10094,8278,Варвара,BGS13,Царево,BGS,Бургас
11051,8167,Визица,BGS12,Малко Търново,BGS,Бургас
35451,8169,Калово,BGS12,Малко Търново,BGS,Бургас
27022,8172,Евренозово,BGS12,Малко Търново,BGS,Бургас
22914,8342,Долно Ябълково,BGS06,Средец,BGS,Бургас
17779,8347,Граничар,BGS06,Средец,BGS,Бургас
29221,8320,Момина църква,BGS06,Средец,BGS,Бургас
12588,8723,Вълчи извор,JAM03,Болярово,JAM,Ямбол
32514,8273,Изгрев,BGS13,Царево,BGS,Бургас
48667,8173,Младежко,BGS12,Малко Търново,BGS,Бургас
36938,8344,Кирово,BGS06,Средец,BGS,Бургас
04412,8174,Близнак,BGS12,Малко Търново,BGS,Бургас
07627,8171,Бяла вода,BGS12,Малко Търново,BGS,Бургас
72967,8348,Тракийци,BGS06,Средец,BGS,Бургас
48619,8260,Царево,BGS13,Царево,BGS,Бургас
15881,8729,Голямо Крушево,JAM03,Болярово,JAM,Ямбол
76039,8340,Факия,BGS06,Средец,BGS,Бургас
10361,8271,Велика,BGS13,Царево,BGS,Бургас
15816,8329,Голямо Буково,BGS06,Средец,BGS,Бургас
76025,8272,Фазаново,BGS13,Царево,BGS,Бургас
44094,8277,Лозенец,BGS13,Царево,BGS,Бургас
10166,8338,Варовник,BGS06,Средец,BGS,Бургас
56513,8182,Писменово,BGS27,Приморско,BGS,Бургас
32737,8149,Индже войвода,BGS21,Созопол,BGS,Бургас
04621,8337,Богданово,BGS06,Средец,BGS,Бургас
67413,8331,Сливово,BGS06,Средец,BGS,Бургас
37023,8183,Китен,BGS27,Приморско,BGS,Бургас
17720,8333,Гранитец,BGS06,Средец,BGS,Бургас
66585,8332,Синьо камене,BGS06,Средец,BGS,Бургас
12975,8157,Вършило,BGS21,Созопол,BGS,Бургас
72059,8341,Вълчаново,BGS06,Средец,BGS,Бургас
53504,8727,Оман,JAM03,Болярово,JAM,Ямбол
58356,8180,Приморско,BGS27,Приморско,BGS,Бургас
40124,8148,Крушевец,BGS21,Созопол,BGS,Бургас
59015,8317,Пънчево,BGS06,Средец,BGS,Бургас
87655,8147,Ясна поляна,BGS27,Приморско,BGS,Бургас
52129,8152,Ново Паничарево,BGS27,Приморско,BGS,Бургас
63055,8318,Росеново,BGS06,Средец,BGS,Бургас
40419,8335,Кубадин,BGS06,Средец,BGS,Бургас
14249,8158,Габър,BGS21,Созопол,BGS,Бургас
30822,8160,Зидарово,BGS21,Созопол,BGS,Бургас
10731,8145,Веселие,BGS27,Приморско,BGS,Бургас
23604,8319,Драчево,BGS06,Средец,BGS,Бургас
17974,8300,Средец,BGS06,Средец,BGS,Бургас
32367,8153,Извор,BGS21,Созопол,BGS,Бургас
61114,8151,Равна гора,BGS21,Созопол,BGS,Бургас
58400,8161,Присад,BGS21,Созопол,BGS,Бургас
63029,8150,Росен,BGS21,Созопол,BGS,Бургас
61042,8146,Равадиново,BGS21,Созопол,BGS,Бургас
24712,8330,Дюлево,BGS06,Средец,BGS,Бургас
20273,8314,Дебелт,BGS06,Средец,BGS,Бургас
47202,8154,Маринка,BGS04,Бургас,BGS,Бургас
21141,8159,Димчево,BGS04,Бургас,BGS,Бургас
52279,8129,Константиново,BGS08,Камено,BGS,Бургас
72151,8155,Твърдица,BGS04,Бургас,BGS,Бургас
67800,8130,Созопол,BGS21,Созопол,BGS,Бургас
73388,8128,Тръстиково,BGS08,Камено,BGS,Бургас
43623,8107,Ливада,BGS08,Камено,BGS,Бургас
80916,8122,Черни връх,BGS08,Камено,BGS,Бургас
81178,8142,Черноморец,BGS21,Созопол,BGS,Бургас
57337,8123,Полски извор,BGS08,Камено,BGS,Бургас
63478,8105,Русокастро,BGS08,Камено,BGS,Бургас
06152,8111,Братово,BGS04,Бургас,BGS,Бургас
07079,8000,Бургас,BGS04,Бургас,BGS,Бургас
61145,8117,Равнец,BGS04,Бургас,BGS,Бургас
00775,8485,Аспарухово,BGS09,Карнобат,BGS,Бургас
27169,8490,Екзарх Антимово,BGS09,Карнобат,BGS,Бургас
72080,8491,Смолник,BGS09,Карнобат,BGS,Бургас
40230,8482,Крушово,BGS09,Карнобат,BGS,Бургас
73211,8108,Трояново,BGS08,Камено,BGS,Бургас
02765,8483,Детелина,BGS09,Карнобат,BGS,Бургас
23176,8489,Драганци,BGS09,Карнобат,BGS,Бургас
57491,8200,Поморие,BGS17,Поморие,BGS,Бургас
65783,8103,Свобода,BGS08,Камено,BGS,Бургас
35883,8120,Камено,BGS08,Камено,BGS,Бургас
40381,8121,Кръстина,BGS08,Камено,BGS,Бургас
12245,8109,Вратица,BGS08,Камено,BGS,Бургас
11096,8118,Винарско,BGS08,Камено,BGS,Бургас
29427,8127,Ветрен,BGS04,Бургас,BGS,Бургас
37650,8493,Козаре,BGS09,Карнобат,BGS,Бургас
40021,8487,Крумово градище,BGS09,Карнобат,BGS,Бургас
77089,8492,Хаджиите,BGS09,Карнобат,BGS,Бургас
81164,8112,Черно море,BGS04,Бургас,BGS,Бургас
07332,8110,Българово,BGS04,Бургас,BGS,Бургас
35691,8215,Каменар,BGS17,Поморие,BGS,Бургас
02573,8125,Банево,BGS04,Бургас,BGS,Бургас
63183,8112,Рудник,BGS04,Бургас,BGS,Бургас
23306,8437,Драгово,BGS09,Карнобат,BGS,Бургас
44425,8216,Лъка,BGS17,Поморие,BGS,Бургас
46440,8519,Малка поляна,BGS01,Айтос,BGS,Бургас
36381,8532,Караново,BGS01,Айтос,BGS,Бургас
48409,8119,Миролюбово,BGS04,Бургас,BGS,Бургас
81640,8529,Чукарка,BGS01,Айтос,BGS,Бургас
61056,8238,Равда,BGS15,Несебър,BGS,Бургас
36525,8400,Карнобат,BGS09,Карнобат,BGS,Бургас
00833,8217,Ахелой,BGS17,Поморие,BGS,Бургас
32425,8116,Изворище,BGS04,Бургас,BGS,Бургас
67920,8435,Соколово,BGS09,Карнобат,BGS,Бургас
35033,8210,Каблешково,BGS17,Поморие,BGS,Бургас
51500,8230,Несебър,BGS15,Несебър,BGS,Бургас
